# lab: final
# world: escenario_complejo.wbt
# use_preloaded_map: True
# control_source: kalman
# grid_cell_m: 0.05
# grid_inflation_m: 0.06
# explore_seconds: 60.0
# waypoint_tolerance_m: 0.04
# heading_kp: 2.5
# Ts_s: 0.016
# fs_Hz: 62.5
# safe_distance_m: 0.15
# ema_alpha: 0.25
# kalman_P0: 0.05
# kalman_Q: 0.0001
# kalman_R: 0.005
# wheel_radius_m: 0.0205
# axle_length_m: 0.0573
# robot_x0_m: -1.375
# robot_y0_m: -1.375
# robot_theta0_rad: 1.5707963267948966
# goal_x_m: 1.375
# goal_y_m: 1.375
# goal_tolerance_m: 0.05
k,time_s,Ts_s,fs_Hz,phase,state,turn_dir,turn_travelled_wheel_rad,turn_target_wheel_rad,backup_remaining,waypoint_idx,waypoints_total,x_m,y_m,theta_rad,dist_to_goal_m,enc_left_rad,enc_right_rad,d_left_rad,d_right_rad,delta_s_m,delta_theta_rad,cmd_left_vel,cmd_right_vel,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,front_left_m,front_right_m,front_raw_m,front_ema_m,front_kalman_m,front_used_m,side_left_m,side_right_m,side_left_raw,side_right_raw
1538,24.608,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9943158200000478,1.5707963267948966,3.6298977196200033,18.56996,18.56996,0.012559999999997018,0.012559999999997018,0.0002574799999999389,0.0,0.8445705594896741,0.8445705594896741,66.87393557053863,65.62466785380992,62.52184208741881,65.94507253911095,65.98042335287528,64.18932144121922,72.5746512445738,69.35391295773869,0.1967828995454174,0.1968979375589838,0.1967828995454174,0.1968141463076534,0.1949501419996972,0.1949501419996972,0.19663350006433863,0.19695588698920316,72.5746512445738,65.62466785380992
1539,24.624,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9940583400000478,1.5707963267948966,3.6297296618789368,18.58252,18.58252,0.01256000000000057,0.01256000000000057,0.0002574800000000117,0.0,0.8415093028446616,0.8415093028446616,64.97869624065517,70.08303966094998,64.26994689113643,69.3532382190176,64.88588848249117,65.91089963911374,62.176766011443206,69.41225481259187,0.19678019325820498,0.19698585149274306,0.19678019325820498,0.1968056580452913,0.19496774532236452,0.19496774532236452,0.19694260963588098,0.19674907775010242,65.91089963911374,70.08303966094998
1540,24.64,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9938008600000477,1.5707963267948966,3.629561614621932,18.59508,18.59508,0.01256000000000057,0.01256000000000057,0.0002574800000000117,0.0,0.8385234396052038,0.8385234396052038,66.14284327746824,68.59663952920735,65.21100925807738,66.99945157233742,63.80148766193741,63.979013202130645,66.31603007670645,64.67538681043061,0.1969999210219771,0.19693185053156276,0.19693185053156276,0.19683720616685918,0.19500301353317295,0.19500301353317295,0.1969238169642153,0.19681802697496353,66.31603007670645,68.59663952920735
1541,24.656,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9935433800000477,1.5707963267948966,3.6293935778504447,18.60764,18.60764,0.01256000000000057,0.01256000000000057,0.0002574800000000117,0.0,0.8352850320648654,0.8352850320648654,74.98340721672655,62.950721459399745,63.430319561047824,69.0094274497919,65.7268984894122,67.75590015137138,66.78923631215311,69.77105029654614,0.19676354991300202,0.196521765778521,0.196521765778521,0.19675834606977463,0.19497959559374706,0.19497959559374706,0.19685702611602526,0.19705767560629905,67.75590015137138,63.430319561047824
1542,24.672,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9931571600000477,1.5707963267948966,3.629141542356745,18.62648,18.62648,0.018840000000000856,0.018840000000000856,0.00038622000000001756,0.0,0.8301688132739379,0.8301688132739379,69.10369581560055,69.19646036997884,66.79425881428064,67.64520531595178,69.47964072395354,64.33859524454502,66.29067212327736,61.691526821149445,0.19713833249608925,0.1967945062976162,0.1967945062976162,0.19676738612673503,0.19488342842298143,0.19488342842298143,0.19692499323646906,0.19679020325432228,66.29067212327736,69.19646036997884
1543,24.688,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9928996800000477,1.5707963267948966,3.6289735318054235,18.63904,18.63904,0.01256000000000057,0.01256000000000057,0.0002574800000000117,0.0,0.8272731997460142,0.8272731997460142,63.833344563760825,68.34636710513946,70.37265051652753,70.92175421392693,74.28916598456676,60.66705081450586,64.96409075172981,64.45711812383878,0.19701004579015396,0.197038980598849,0.19701004579015396,0.19682805104258977,0.19494011158707844,0.19494011158707844,0.19698652899345007,0.1967356436527978,64.96409075172981,70.37265051652753
1544,24.704,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9926422000000478,1.5707963267948966,3.628805531744718,18.6516,18.6516,0.012559999999997018,0.012559999999997018,0.0002574799999999389,0.0,0.8242203510870716,0.8242203510870716,69.24907999240035,65.38527498253283,66.12453349715133,67.93511557854139,67.44967398798663,66.8528083978482,68.2624108878731,68.54168433079407,0.1968205761662962,0.1967877624026963,0.1967877624026963,0.19681797888261643,0.19496003408203488,0.19496003408203488,0.1968335307449473,0.1969326998621927,68.2624108878731,66.12453349715133
1545,24.72,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9923847200000477,1.5707963267948966,3.6286375421760857,18.66416,18.66416,0.01256000000000057,0.01256000000000057,0.0002574800000000117,0.0,0.8211076018228217,0.8211076018228217,69.09391355821862,68.54495304858415,64.6009105552556,67.06463940588456,65.80863833786589,62.99875589836577,69.48558237622584,71.12151638672367,0.19670090622229555,0.1967949600644381,0.19670090622229555,0.1967887107175362,0.19496588587376826,0.19496588587376826,0.19677679183313407,0.19682042454120338,69.48558237622584,68.54495304858415
1546,24.736,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9921272400000477,1.5707963267948966,3.6284695631009836,18.67672,18.67672,0.01256000000000057,0.01256000000000057,0.0002574800000000117,0.0,0.8180080086663261,0.8180080086663261,70.47501250876877,67.77487310578688,67.30319030648096,73.89498759587082,71.42831605389367,63.90599050610574,64.77475902680874,60.570632184006804,0.1971903271203708,0.196730895415853,0.196730895415853,0.1967742568921154,0.1949749183588049,0.1949749183588049,0.19699531147092442,0.19685614602292495,64.77475902680874,67.77487310578688
1547,24.752,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9918697600000477,1.5707963267948966,3.6283015945208694,18.68928,18.68928,0.01256000000000057,0.01256000000000057,0.0002574800000000117,0.0,0.8148320599732504,0.8148320599732504,66.58178809539359,73.31363142356064,68.96123166268275,63.82155905260777,66.39728056376244,66.21065469394294,66.35146737130432,73.25777330320481,0.196601812273533,0.19691148932174687,0.196601812273533,0.1967311457374698,0.19496575073041536,0.19496575073041536,0.19692217314439753,0.19659922119861414,66.35146737130432,73.31363142356064
