# lab: 2
# control_source: kalman
# run_seconds: None
# Ts_s: 0.032
# fs_Hz: 31.25
# safe_distance_m: 0.17
# ema_alpha: 0.25
# kalman_P0: 0.05
# kalman_Q: 0.0001
# kalman_R: 0.005
# wheel_radius_m: 0.0205
# axle_length_m: 0.0573
# turn_angle_deg: 90.0
# turn_wheel_target_rad: 2.1952836469596964
k,time_s,Ts_s,fs_Hz,state,turn_dir,turn_travelled_wheel_rad,turn_target_wheel_rad,backup_remaining,enc_left_rad,enc_right_rad,d_left_rad,d_right_rad,delta_s_m,delta_theta_rad,cmd_left_vel,cmd_right_vel,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,front_left_m,front_right_m,front_raw_m,front_ema_m,front_kalman_m,front_used_m,side_left_m,side_right_m,side_left_raw,side_right_raw
1783,57.056000000000004,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,216.7542,225.5148,0.1067600000000084,0.11304000000001224,0.0022529500000002117,0.002246771378709925,3.4375000000000004,3.4375000000000004,66.33942780080824,326.37822661474814,1469.02214200043,64.59539047599975,68.76276058286678,67.45788833962146,63.40336395287183,69.79073137619133,0.19676263697229582,0.196922731620568,0.19676263697229582,0.1967471639293764,0.18192162123742658,0.18192162123742658,0.19687084990612108,0.1318568830615035,67.45788833962146,1469.02214200043
1784,57.088,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,216.86724,225.62156,0.11304000000001224,0.10675999999997998,0.0022529499999999203,-0.002246771378720093,3.4375000000000004,3.4375000000000004,61.9778721524117,316.95347635790887,1469.901143835264,67.30386708792014,65.8665276541821,59.63619943072405,66.871074691559,73.05086469464356,0.19661141008496527,0.19712504987574264,0.19661141008496527,0.19671322546827363,0.18190129164886773,0.18190129164886773,0.1968980702657724,0.1318161090506103,66.871074691559,1469.901143835264
1785,57.120000000000005,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,216.974,225.7346,0.10675999999997998,0.11304000000001224,0.0022529499999999203,0.002246771378720093,3.4375000000000004,3.4375000000000004,60.29181349280032,326.3673917388641,1443.681701737436,67.80061932957946,57.44778114197106,67.85883079867652,67.52118572166422,65.31431704716424,0.19697028314478487,0.19720326060458201,0.19697028314478487,0.19677748988740146,0.18193093128786178,0.18193093128786178,0.19685225150103797,0.13303234293698418,67.85883079867652,1443.681701737436
1786,57.152,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,217.08704,225.84136,0.11304000000001224,0.1067600000000084,0.0022529500000002117,-0.002246771378709925,3.4375000000000004,3.4375000000000004,69.47010176562425,317.553661108604,1454.4757467780867,59.48435941887966,62.21888839434517,68.63948121638929,67.09473980004726,74.90255469863483,0.19652551626153794,0.1967775099278641,0.19652551626153794,0.19671449648093556,0.1818980562593979,0.1818980562593979,0.19681603968966946,0.13253164260550868,68.63948121638929,1454.4757467780867
1787,57.184000000000005,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,217.1938,225.9544,0.1067600000000084,0.11303999999998382,0.0022529499999999203,0.0022467713786997567,3.4375000000000004,3.4375000000000004,74.97300498697314,317.2595773841989,1447.7099487162545,68.76876222430283,69.2454691472384,64.65647098289486,71.43944068714967,65.33810276123624,0.19696917980355594,0.19652224830382695,0.19652224830382695,0.1966664344366584,0.1818690826869551,0.1818690826869551,0.1966861587571879,0.1328454857773222,71.43944068714967,1447.7099487162545
1788,57.216,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,217.30684,226.06116,0.11303999999998382,0.1067600000000084,0.0022529499999999203,-0.0022467713786997567,3.4375000000000004,3.4375000000000004,64.14612899030482,323.1950459736073,1486.1553615613495,61.93640136451802,77.45874210859635,66.29003856397966,69.07311909637673,63.57347553738327,0.1970510350702874,0.19702447155562552,0.19702447155562552,0.19675594371640018,0.18191010729384835,0.18191010729384835,0.19679592465129114,0.13106212922444913,69.07311909637673,1486.1553615613495
1789,57.248000000000005,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,217.4136,226.1742,0.1067600000000084,0.11304000000001224,0.0022529500000002117,0.002246771378709925,3.4375000000000004,3.4375000000000004,64.27419790628907,328.55472971459096,1448.5844484962904,73.28057359121479,70.68645282989308,64.48605032872149,67.11525160968365,66.60674075667715,0.19691033184966586,0.19701853085883914,0.19691033184966586,0.1967945407497166,0.18193068520584038,0.18193068520584038,0.19688674369974613,0.1328049206019787,67.11525160968365,1448.5844484962904
1790,57.28,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,217.52664,226.28096,0.11303999999998382,0.10675999999997998,0.002252949999999629,-0.002246771378709925,3.4375000000000004,3.4375000000000004,64.82677096928684,321.4357401108929,1465.6911959295212,70.71976299918884,69.3785069920702,66.89081381948455,69.10346898093586,65.79066248846054,0.19694818704277162,0.19699289880757703,0.19694818704277162,0.19683295232298037,0.18195353982237375,0.18195353982237375,0.196794516819732,0.13201139472006615,69.10346898093586,1465.6911959295212
1791,57.312000000000005,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,217.6334,226.394,0.1067600000000084,0.11304000000001224,0.0022529500000002117,0.002246771378709925,3.4375000000000004,3.4375000000000004,70.13161545409878,318.3470027981192,1471.390289242191,68.70124077963365,63.73972849501194,68.30635205330827,71.32963723973428,66.1310394813254,0.19693239807093463,0.19674682447844757,0.19674682447844757,0.19681142036184718,0.1819468483390061,0.1819468483390061,0.1966912521788209,0.13174703248144135,71.32963723973428,1471.390289242191
1792,57.344,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,217.74644,226.50076,0.11304000000001224,0.1067600000000084,0.0022529500000002117,-0.002246771378709925,3.4375000000000004,3.4375000000000004,66.93965730378977,333.81815870528305,1446.3302987405991,66.96578013920252,62.40803041685358,66.80698158062098,64.25085090135204,69.97994985595076,0.19675385974789292,0.19689488894342774,0.19675385974789292,0.19679703020835862,0.18194196569119858,0.18194196569119858,0.1969010433348833,0.13290948321271634,66.80698158062098,1446.3302987405991
1793,57.376,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,217.8532,226.6138,0.10675999999997998,0.11303999999998382,0.002252949999999629,0.002246771378709925,3.4375000000000004,3.4375000000000004,70.22320147483381,324.41408545817626,1470.9650404799754,63.37851772437093,69.54510916269587,67.63154444989675,69.91063785685951,64.25486782268435,0.19701942751799073,0.19674257610346232,0.19674257610346232,0.19678341668213456,0.18193623955546182,0.18193623955546182,0.19675707490410077,0.13176675837617302,69.91063785685951,1470.9650404799754
1794,57.408,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,217.96624,226.72056,0.11304000000001224,0.1067600000000084,0.0022529500000002117,-0.002246771378709925,3.4375000000000004,3.4375000000000004,67.91051384377852,328.8623003701169,1461.934285512168,70.90490597178623,65.87663784438604,65.20582188837801,67.1612848959293,68.6785334907227,0.1968142281828034,0.19684985409416067,0.1968142281828034,0.19679111955730177,0.18194070989291217,0.18194070989291217,0.1968846083666439,0.1321856654669649,67.1612848959293,1461.934285512168
1795,57.44,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,218.073,226.8336,0.1067600000000084,0.11303999999998382,0.0022529499999999203,0.0022467713786997567,3.4375000000000004,3.4375000000000004,71.01453003855542,330.3749788713015,1465.3447897411004,65.54650036742039,67.85266047026256,68.83433272461795,71.12929204851042,67.06694421569141,0.1968889845212448,0.19670586896793812,0.19670586896793812,0.19676980690996088,0.18193031217604286,0.18193031217604286,0.19670054553485916,0.13202746336650167,71.12929204851042,1465.3447897411004
1796,57.472,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,218.18604,226.94036,0.11303999999998382,0.1067600000000084,0.0022529499999999203,-0.0022467713786997567,3.4375000000000004,3.4375000000000004,65.13698839036608,328.8471437700103,1454.5994783725664,70.05359181387541,67.17783563816873,68.38355841991712,69.53232990910631,65.93709762139592,0.196941394397445,0.1969785088393141,0.196941394397445,0.1968127037818319,0.18195232085114982,0.18195232085114982,0.19677462336847407,0.13252590310283505,69.53232990910631,1454.5994783725664
1797,57.504,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,218.2928,227.0534,0.1067600000000084,0.11304000000001224,0.0022529500000002117,0.002246771378709925,3.4375000000000004,3.4375000000000004,68.47914691251353,322.6342173071571,1469.058244511785,70.42730042149364,67.96459732203017,60.52482165911397,62.8351493486979,67.60372575880317,0.19686408498677427,0.19682347707192932,0.19682347707192932,0.19681539710435625,0.18195589085185493,0.18195589085185493,0.19708528359954772,0.1318552083844631,62.8351493486979,1469.058244511785
1798,57.536,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,218.40584,227.16016,0.11304000000001224,0.10675999999997998,0.0022529499999999203,-0.002246771378720093,3.4375000000000004,3.4375000000000004,67.051167041655,331.38178085681164,1453.3656158627437,67.37188828414929,62.59258503482609,69.22269116262966,70.51780737400591,71.95687458683216,0.1966621566964116,0.1968897163725795,0.1966621566964116,0.1967770870023701,0.18193773251082535,0.18193773251082535,0.19672891030247533,0.13258313793605436,70.51780737400591,1453.3656158627437
1799,57.568,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,218.5126,227.2732,0.10675999999997998,0.11304000000001224,0.0022529499999999203,0.002246771378720093,3.4375000000000004,3.4375000000000004,66.11372282124277,335.3779156627352,1457.1911887161937,64.67190823900988,69.67523562919472,63.836649642922296,71.75352775898203,68.01836208698185,0.1968448513680355,0.19693320133397557,0.1968448513680355,0.19679402809378646,0.18194604146884255,0.18194604146884255,0.1966715892885238,0.13240568216404375,71.75352775898203,1457.1911887161937
1800,57.6,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,218.62564,227.37996,0.11304000000001224,0.1067600000000084,0.0022529500000002117,-0.002246771378709925,3.4375000000000004,3.4375000000000004,69.59178835198436,321.4202704485619,1448.9663309304083,70.40013654318261,64.67952489185274,68.43900495445556,64.9251536454637,68.58933891710049,0.19681836562640403,0.196771865286407,0.196771865286407,0.1967884873919416,0.1819436378161951,0.1819436378161951,0.19682533912564784,0.13278720632891172,68.43900495445556,1448.9663309304083
1801,57.632,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,218.7324,227.493,0.1067600000000084,0.11303999999998382,0.0022529499999999203,0.0022467713786997567,3.4375000000000004,3.4375000000000004,67.52772515985109,326.8913257034691,1456.7719650982829,75.76201358351618,76.02651832988089,62.00476024027509,72.55568271419811,70.4564315746582,0.19673175732441772,0.19686761040518272,0.19673175732441772,0.19677430487506062,0.18193626569821342,0.18193626569821342,0.19663437995222227,0.13242512857210115,72.55568271419811,1456.7719650982829
1802,57.664,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,218.84544,227.59976,0.11303999999998382,0.1067600000000084,0.0022529499999999203,-0.0022467713786997567,3.4375000000000004,3.4375000000000004,72.53148636130527,310.81225688644673,1471.202156808122,68.31118982207524,64.9277571058034,65.77411119315869,63.33125231763425,67.80577138374406,0.19685471275319547,0.19663550234163868,0.19663550234163868,0.1967396042417051,0.18191718108793872,0.18191718108793872,0.19694895480305175,0.13175575932774827,65.77411119315869,1471.202156808122
1803,57.696,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,218.9522,227.7128,0.1067600000000084,0.11303999999998382,0.0022529499999999203,0.0022467713786997567,3.4375000000000004,3.4375000000000004,69.46475741044331,322.1873919473389,1475.0377934928883,66.67619594587165,65.53027788228147,67.58239362018686,65.32881452045874,66.81192915966278,0.19690081383292582,0.1967777578349648,0.1967777578349648,0.19674914264002002,0.18191935698411016,0.18191935698411016,0.1968650745146886,0.13157783672762483,67.58239362018686,1475.0377934928883
1804,57.728,0.032,31.25,FORWARD,,0.0,2.1952836469596964,0,219.06524,227.81956,0.11303999999998382,0.1067600000000084,0.0022529499999999203,-0.0022467713786997567,3.4375000000000004,3.4375000000000004,67.98062511156127,328.1021757783569,1443.6048833784705,69.13454405137189,67.05568972684374,66.32794573468617,68.98023263954576,66.99080064607729,0.1968925165715931,0.19684660186250083,0.19684660186250083,0.1967735074456402,0.18193031803787724,0.18193031803787724,0.19680023334923985,0.13303590628859632,68.98023263954576,1443.6048833784705
